name,channel_id
PyData,UCOjD18EJYcsBog4IozkF_7w
PyCascades,UCtWI06j1EADmEOGj2iJhSyA
PyDataPune,UCEnagt088yX-ruTalg-GJeQ
PyData MCR,UCTCV2vonJgaQVb8AdMgdvCA
PyLondinium,UCTCV2vonJgaQVb8AdMgdvCA
PyData Montreal,UC2d_azMgPLw_8JzgbpNb2oQ
Deepmind,UCP7jMXSY2xbc3KCAE0MHQ-A
AICamp,UCj09XsAWj-RF9kY4UvBJh_A
NLPXing,UCuGC1JusVvbOGa__qMtH3QA
W&B,UCBp3w4DCEC64FZr4k9ROxig
London ML,UCpwC9QC0lWaEJ85MoMRFvrA
Yannic Kilcher,UCZHmQk67mSJgfCCTn7xBfew
ML Dojo,UCXvHuBMbgJw67i5vrMBBobA
ML OPS,UCG6qpjVnBTTT8wLGBygANOQ
TinyML,UC9iWqvsWjhowkHWVJquHwkg
Usha,UChr1xW6wSq4sxUgAlgv9PZQ
AIEveryone,UCIpPdErVmb3sfCT6S8U3BwA
Wildlabs,UCrxw8iiyFalKHFNAhZYCAYA
Bhavesh,UC8ofcOdHNINiPrBA9D59Vaw
FSDL,UCVchfoB65aVtQiDITbGq2LQ
Zachary Mueller,UCmKoQOD8uBqsRS8XDdSgrlQ
Deeplearning,UCcIXc5mJsHVYTZR1maL5l9w
ECCV,UCKfreQYtL6GZSj9Zq5FRQGA
Daniel Bourke,UCr8O8l5cCX85Oem1d18EezQ
AI Guy,UCrydcKaojc44XnuXrfhlV8Q
MLSS,UCBOgpkDhQuYeVVjuzS5Wtxw
Matroid,UCR85FcguqcxLQ7XEg1byAtQ
Saturn Cloud,UCADT4bgaV94IVkpABEY7iiA
Altdeep,UCopQd3S1UGsEwqs5Dy2kQwg
Robert Monarch,UCjK2LOJJy9gomvzcfUFgdDA
CMU AI,UCLh3OUmBGe4wPyVZiI771ng
Corey Schafer,UCCezIgC97PvUuR4_gbFUs5g
PyCon US,UCMjMBMGt0WJQLeluw6qNJuA
Python Engineer,UCbXgNpp0jedKWcQiULLbDTA
PyCon2018,UCrJhliKNQ8g0qoE_zvL8eVg
pyCon 2018 ,UCsX05-2sVSH7Nx3zuk3NYuQ
SebastiaanMath%C3%B4t,UCji5VWDkGzuRenyRQZ9OpFQ
metrostarsystems,UCKpRsp7cmf1uoaphUQ98T6w
Talk Python to me ,UCKPSmMfDsXTKrCZApukcJ7A
Cheukting Ho ,UCie_J9IohYO4hSsz4O2mDfQ
Pycon Sweden ,UCH_2cuWzFMyCPvm75lJJ6wg
Flickthrough Weekly,UCpuDoeCqewjQW-sSI0jtLYQ
Python Basics,UCxs6S1svGP8w_p_eXdSs42A
PythonItalia,UC98CzaYuFNAA_gOINFB0e4Q
EnthoughtMedia,UCkhm72fuzkS9fYGlGpEmj7A
PyCon 2015,UCgxzjK6GuOHVKR_08TT4hJQ
PyCon 2016,UCwTD5zJbsQGJN75MwbykYNw
PyCon 2019,UCxs2IIVXaEHHA4BtTiWZ2mQ
PyOhio,UCYqdrfvhGxNW3vXebypqXoQ
PyCon AU,UCS9sdEyduD9K83K3GkvQlOA
PyLondinium ,UCHh7vOesookNhYvupCCcJxA
PyCon UK ,UChA9XP_feY1-1oSy2L7acog
PyBay/SFPython ,UC51aOZF5nnderbuar5D5ifw
Python Barcelona ,UCEhI2CfdT5--TYq47K4en4A
Sebastian Mathot ,UC6HfeAa0vWeSWS6IcNAjZ2A
Global AI community ,UCDVL0bPrZHwCeJrlyy-wxaQ
Remi Vezy ,UCxArXLI-gxlTmWGGgec5D7w
Alfredo Canziani ,UCupQLyNchb9-2Z5lmUOIijw
AI Core ,UCbPDqVPqfu_VyNiy7v1YSgg
CellStrat ,UCqrJHjXEHEOhK5333IX0ElA
Qwiklabs ,UCgadTofKslPYREQE8TjY7AA
BigData LDN ,UCFbY6n5Ge7PJ98AtnMcD2eA
